-13.7,4.6,11.5,-0.149,-1.022,0.26
-13.6,4.6,11.2,-0.15,-1.018,0.259
-14.5,4.9,10.3,-0.15,-0.995,0.268
-14.2,4.8,10.2,-0.151,-0.959,0.269
-14.5,4.8,10.2,-0.159,-1.001,0.275
-14.6,4.9,10.1,-0.153,-1.004,0.273
-14.7,4.8,9.4,-0.163,-1.012,0.274
-15.3,5.1,8.3,-0.172,-1.014,0.292
-15.6,5.1,7.8,-0.184,-1.009,0.299
-15.8,4.2,7.4,-0.165,-1.007,0.278
-15.9,3.7,7.5,-0.16,-1.011,0.267
-16,2.8,7.4,-0.145,-1.013,0.238
-16.1,2.1,7.7,-0.131,-1.022,0.218
-16.3,1.4,7.3,-0.111,-1.029,0.191
-16.4,0.7,7.1,-0.084,-1.039,0.169
-16.3,0.2,7.2,-0.074,-1.05,0.15
-16.3,-0.4,7.1,-0.064,-1.048,0.131
-16.4,-1.2,7.5,-0.042,-1.053,0.108
-16.3,-1.7,6.8,-0.035,-1.057,0.087
-16.3,-2,7.3,-0.03,-1.057,0.078
-16.3,-2,7.3,-0.03,-1.057,0.078
-16,-3,7.4,0.021,-0.978,-0.042
-16,-2.5,7.3,0.013,-0.955,-0.035
-15.9,-1.5,7.7,-0.009,-0.934,-0.011
-16.1,-0.2,7.8,-0.026,-0.924,0.031
-15.9,1,7.6,-0.058,-0.909,0.08
-16,1.6,7.8,-0.067,-0.91,0.115
-16,1.9,7.7,-0.071,-0.902,0.12
-15.9,2.4,8.2,-0.086,-0.902,0.14
-15.7,2.7,7.5,-0.091,-0.896,0.15
-15.7,3.3,7.8,-0.109,-0.892,0.172
-15.6,3.6,7.9,-0.115,-0.889,0.188
-15.5,4.2,8.3,-0.133,-0.887,0.214
-15.2,4.8,7.5,-0.139,-0.882,0.232
-15.2,4.8,8.2,-0.143,-0.884,0.239
-15.2,4.8,8.3,-0.141,-0.882,0.238
-14.9,4.7,8.7,-0.14,-0.884,0.235
-14.8,4.7,9.7,-0.143,-0.895,0.243
-14.6,4.6,9.9,-0.134,-0.89,0.236
-14.3,4.5,10.2,-0.137,-0.887,0.235
