-0.657089,-0.720069,0.223012,0.0610102;-0.263516,-0.0577584,-0.962924,-0.450927;0.706253,-0.691494,-0.151797,0.535666;0,0,0,1;
-0.972782,0.0273461,0.230103,-0.077581;-0.209324,0.322229,-0.923229,-0.538428;-0.0993927,-0.946267,-0.307735,0.598549;0,0,0,1;
-0.672469,0.530128,0.516479,-0.257103;-0.355805,0.380344,-0.853663,-0.440293;-0.648991,-0.757827,-0.0671473,0.61898;0,0,0,1;
-0.532859,0.771457,0.347729,-0.0817595;-0.296088,0.214973,-0.930655,-0.381905;-0.792712,-0.598866,0.113868,0.71072;0,0,0,1;
-0.551992,0.346088,0.758635,0.0507461;-0.53167,0.554795,-0.639945,-0.478958;-0.642365,-0.756588,-0.122237,0.59541;0,0,0,1;
-0.0920165,-0.834451,0.543346,0.146272;-0.146958,-0.528305,-0.83624,-0.213811;0.984853,-0.156797,-0.0740165,0.562788;0,0,0,1;
0.661994,-0.746407,-0.0681195,0.154444;-0.210435,-0.0978652,-0.972697,-0.240506;0.719361,0.658255,-0.221857,0.526095;0,0,0,1;
0.992651,-0.0832255,-0.0878444,0.0966056;-0.100144,-0.157495,-0.982429,-0.114551;0.067928,0.984006,-0.164673,0.500884;0,0,0,1;
0.962459,0.10917,0.248503,0.037481;0.258468,-0.0891263,-0.9619,-0.1941;-0.0828621,0.990019,-0.113997,0.616098;0,0,0,1;
0.910036,0.374772,0.177148,-0.0433454;0.194339,-0.00824871,-0.9809,-0.236317;-0.366152,0.92708,-0.0803395,0.753161;0,0,0,1;
0.826009,-0.501456,0.257392,-0.0763285;0.225034,-0.125291,-0.966262,-0.201943;0.516787,0.856063,0.00935266,0.652487;0,0,0,1;
0.54906,-0.721898,0.421183,0.00668893;-0.0121152,-0.51076,-0.859638,-0.271447;0.835695,0.46689,-0.289184,0.379349;0,0,0,1;
0.838059,0.0370144,0.544323,0.0572881;0.544847,-0.00507775,-0.83852,-0.263165;-0.0282734,0.999302,-0.0244226,0.576959;0,0,0,1;
0.0567116,-0.801335,0.595522,0.0176934;-0.268457,-0.586753,-0.763971,-0.420998;0.961621,-0.116546,-0.248399,0.502769;0,0,0,1;
-0.292173,-0.954598,0.0581203,-0.0149967;-0.191448,-0.00116189,-0.981502,-0.412599;0.937007,-0.297896,-0.182417,0.520322;0,0,0,1;
-0.591074,-0.675691,0.440538,-0.0125497;-0.522898,-0.0948764,-0.847098,-0.538544;0.614173,-0.731055,-0.297238,0.517355;0,0,0,1;
-0.741127,-0.359449,0.567033,0.0963536;-0.616027,0.0283124,-0.787216,-0.494735;0.26691,-0.932735,-0.242413,0.558817;0,0,0,1;
-0.938783,-0.340819,-0.0502815,-0.178767;-0.00922347,0.170764,-0.985269,-0.403368;0.344384,-0.92449,-0.163454,0.61441;0,0,0,1;
-0.50923,0.32038,0.798775,-0.131655;-0.74524,0.300077,-0.595459,-0.391386;-0.430467,-0.898504,0.0859522,0.593189;0,0,0,1;
-0.62899,0.624057,0.463599,-0.228066;-0.377622,0.276001,-0.883869,-0.242154;-0.679539,-0.73101,0.062056,0.609424;0,0,0,1;
